,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
0,0,0.2283385268735605,0.19931506586584796,4.729920409264538,-1.6090437608559078,1.3798511753075868,-2.1307796274640447,0.9768883722975468,7.200223762935107,5.341706047562495,-1.1271359668915217,-4.87413131445092,0.454195378962246,0.118497617542905,-0.9476973167942503,-0.9722648106159958,-0.29408965700672174,-0.1506232477827286,-0.4608542626054302,1.2956317903459402,0.23425617090174033,-1.0338465137152533,-0.8709002078885106,0.45551845734390717,0.5231261610802267,0.28181266592207616
1,0,-0.07769937456897279,0.3260821937802826,-0.8899693406490704,0.19419873760789663,0.0005052330213748997,-1.2377226933684733,1.7959221814157753,-0.3451783378825752,-2.9448108387015264,-2.0277287246623033,1.613420578874723,0.4718362987709661,0.10021389755713131,0.5802150000578612,-1.0593574424827448,1.2831940162337891,-0.4510955807726148,0.7617534401930276,1.9462957872204172,-0.3328472565762262,0.21040233367495814,-1.3531217564583011,-0.2268290723212825,-0.4776230830632105,-0.11172704334475843
2,1,-0.017238670597135172,0.3093166974002074,-0.6394882600709075,1.7497503755062231,-3.6151042500145216,-0.056548681342867044,-0.42169481698019073,-1.2264001684818493,1.3628630848525656,-0.49064758174954254,0.8520789492151772,1.6098157445437375,-0.20417586880555216,0.07197611699321109,0.11164991054298495,0.032980193894145984,0.5948307337201949,-0.5927057867334095,-0.7491233609538366,-0.7979099312358381,0.5017128179771184,-3.2922217328132968,0.062494159967710426,1.6937262067417294,-0.7708035306809091
3,0,-0.04704459434462377,0.2131722925842092,1.2285299051318903,0.8502807096064058,1.1146315655350556,3.0254144668808514,-1.3952616132561073,-4.551922851133811,0.8434844934929605,-2.5324060181562174,1.8283168768899407,-1.1562906917117775,-0.11157328493105184,-1.3143120826855128,0.26112465177945504,0.35574816890623046,-0.34098381032357317,-0.03196439338862103,1.945251417326361,0.2786045526157573,0.5721151827954316,-3.239658342328588,-0.35550514476070094,0.9370007828973032,0.09258096109590433
4,0,0.0894529404705104,-0.18628572561606777,1.4625050174538414,0.5633543813739175,1.9198769116654852,0.4466700564904575,0.23617436127842242,3.088351429842784,4.780327383537792,3.342865218570718,-3.2735829518049355,0.64635410440698,0.15198654385133892,-1.7649578521138443,0.13927168890154137,-0.5551421803282153,-0.14618667058282722,0.2678464404714046,0.4983902614652142,-0.310565096476871,-0.3503528780895707,-1.9249936470275777,0.49369697663840917,-0.44298441716718717,0.5749820126026703
5,1,-0.038737327314963634,-0.32780421752391276,-0.4201021256447539,-1.87390804482175,-2.4366981521276694,-0.017559245860174218,0.36242872376341556,-0.09861667109296968,-0.4865155045730765,-6.659157038870985,2.0011718041182314,1.3238252833871726,-0.12242594081791904,-1.656995683331704,-0.8599621186408964,0.9945694501455697,0.09441718090232887,-0.5631500055091865,-1.8304584207729955,0.24034806486338076,-0.319152594143134,-0.5759023959973011,-0.1577722083843682,-0.21898639137153383,0.10326329343635839
6,0,0.021724402280249768,0.00520880468203783,1.3162980526038537,0.18252156238847167,1.6474896810557345,3.0163046059442142,-0.43293205576608307,-5.066401040485158,-0.4684289251381849,-2.0599384610740916,2.160269314024897,-0.990593843544829,-0.004000287534110731,-0.31921348445245445,0.6327659968009914,-0.33077171597236177,-0.021497050834652493,-0.26365656866715065,1.0920207005542508,-0.8370508265648272,0.9036440596362215,0.049850296968081416,-0.18008946849905952,0.7102647045173419,-0.3222141725847727
7,1,-0.18125993817070665,0.8996138609681701,-0.3691481161828686,0.825882489735091,-4.680211651807372,-1.33360935145198,1.6388928936269014,-1.46759744618997,2.8689727003359615,-0.9718806050058555,-0.7961262249614109,-0.1759130311342296,-0.25902063238337014,0.5300661449769607,-0.4619251192546174,0.017621123090937416,0.1375422985668312,-0.23288171616778328,-0.4374530887797171,0.13180522146838078,0.7783732951488335,0.7788701651354074,-0.11328755112619705,0.29276221755083226,-0.23023873710861625
8,0,0.03176908070110709,0.45517950964192483,0.18931797374181386,-1.428041800322513,2.3439345673734597,-1.5552996286733418,-0.46788303350939037,5.815454855604457,2.731429319033071,-1.2965890380487173,-4.197151292479822,0.5249666309350408,0.18343354503364673,0.17346291238727093,1.0469792531704332,-0.3829416660101966,0.13632291522124593,0.6156539653283628,1.7471828617461167,0.17676199331064396,-0.633845902708217,-0.4484384903386283,0.3283684284668339,-1.2135991535661357,-1.2151503121501122
9,1,0.04288114577517999,0.19343561354914185,1.2286190017351957,1.33394745490575,-1.9019215777548135,5.793346513063302,0.40867545754420326,-3.33618590955317,1.274512281265482,-0.7779472158591489,0.5598794870187015,1.8538131996633678,-0.826185126294209,1.079199354556705,1.4530127768088192,-0.3831481040548143,0.41447992194412736,0.14566098696027735,1.3996042752271425,-0.3424342907363913,-0.751039232525197,-1.8327451014661678,-0.651507134226053,-0.25440106771356147,-0.4251006959395181
